game_info,year,n_venue
Texas State vs Sam Houston,2022,
TIDELANDS HEALTH CLASSIC ,2017,Conway South Carolina
TONY GWYNN CLASSIC ,2017,
TONY GWYNN CLASSIC ,2018,
Tony Gwynn Legacy,2022,
Tulane vs Southern Miss,2022,
UC Riverside vs UC Irvine,2021,
UCLA vs Arizona State,2021,
UConn vs UC San Diego,2022,
UL Monroe vs TCU,2021,
USA BASEBALL-IRISH CLASSIC ,2016,
UT Arlington vs Baylor,2022,
Valparaiso vs Indiana State,2021,
WAC CHAMPIONSHIP,2019,HoHoKam Stadium Mesa AZ
WAC Championship,2021,HoHoKam Stadium Mesa AZ
WAC Championship,2022,HoHoKam Stadium Mesa AZ
WAC CHAMPIONSHIP ,2018,HoHoKam Stadium Mesa AZ
WAC Tournament,2022,HoHoKam Stadium Mesa AZ
WAC TOURNAMENT,2019,Hohokam Stadium spring training home of  Oakland Athletics  Mesa Arizona
WAC Tournament,2021,HoHoKam Stadium Mesa AZ
WAC TOURNAMENT ,2018,HoHoKam Stadium Mesa AZ
WAC TOURNAMENT ,2017,HoHoKam Stadium Mesa AZ
Washington State vs Hawai'i,2022,
Washington State vs Tarleton,2022,
WCC CHAMPIONSHIP,2019,Banner Island Ballpark  Stockton California
WCC Championship,2022,Banner Island Ballpark  Stockton California
WCC CHAMPIONSHIP ,2016,Banner Island Ballpark  Stockton California
WCC CHAMPIONSHIP ,2017,Banner Island Ballpark  Stockton California
WCC CHAMPIONSHIP ,2018,Banner Island Ballpark  Stockton California
WCC Tournament,2022,Banner Island Ballpark  Stockton California
WCC TOURNAMENT,2019,Banner Island Ballpark  Stockton California
WCC TOURNAMENT ,2017,Banner Island Ballpark  Stockton California
WCC TOURNAMENT ,2016,Banner Island Ballpark  Stockton California
WCC TOURNAMENT ,2018,Banner Island Ballpark  Stockton California
West Virginia vs Charlotte,2022,
West Virginia vs Coastal Carolina,2022,
WHATABURGER CLASSIC ,2017,
Will resume on 3/29,2021,
Winthrop vs Liberty,2022,
