game_info,year,date,away_team,home_team,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,venue,n_venue,team,latitude,longitude,elevation
MOUNTAIN WEST CHAMPIONSHIP ,2016,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MOUNTAIN WEST CHAMPIONSHIP ,2017,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
MOUNTAIN WEST TOURNAMENT,2019,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
MOUNTAIN WEST TOURNAMENT ,2017,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
MOUNTAIN WEST TOURNAMENT ,2018,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
Maryland vs Baylor,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
Maryland vs Campbell,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Maryland vs East Carolina,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Memphis vs East Carolina,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Miami (OH) vs West Virginia,2021,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Michigan vs Minnesota,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Missouri State vs Kansas,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Missouri State vs Oklahoma State,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Missouri Valley Championship,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Missouri Valley Championship,2022,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
Missouri Valley Tournament,2021,11,11,11,11,11,11,11,11,11,11,0,11,0,0,0
Missouri Valley Tournament,2022,12,12,12,12,12,12,12,12,12,12,0,12,0,0,0
Mountain West Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Mountain West Tournament,2022,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0
Music City College Classic,2022,4,4,4,4,4,4,4,4,4,4,0,4,0,0,0
NEC CHAMPIONSHIP,2019,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
NEC CHAMPIONSHIP ,2016,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
NEC CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
NEC Championship,2021,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
NEC Championship,2022,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
NEC TOURNAMENT,2019,5,5,5,5,5,5,5,5,5,5,0,2,0,0,0
NEC TOURNAMENT ,2016,5,5,5,5,5,5,5,5,5,5,0,2,0,0,0
NEC TOURNAMENT ,2017,5,5,5,5,5,5,5,5,5,5,0,1,0,0,0
NEC TOURNAMENT ,2018,6,6,6,6,6,6,6,6,6,6,0,3,0,0,0
NEC Tournament,2021,5,5,5,5,5,5,5,5,5,5,0,2,0,0,0
NEC Tournament,2022,6,6,6,6,6,6,6,6,6,6,0,3,0,0,0
Nebraska vs Kansas State,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Nebraska vs Sam Houston,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
New Mexico vs Kansas State,2021,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
North Dakota State vs Long Beach State,2022,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
ODU BASEBALL TOURNAMENT ,2017,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
OHIO VALLEY CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
OHIO VALLEY CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
OHIO VALLEY TOURNAMENT,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
OHIO VALLEY TOURNAMENT,2019,12,12,12,12,12,12,12,12,12,12,0,12,0,0,0
